10	10	606	220	227
20725000	15725000
0	0	0	20	90	50	6	1	1
20	0	0	40	90	50	6	1	1
40	0	0	60	90	50	6	1	1
60	0	0	80	90	50	6	1	1
80	0	0	100	90	50	6	1	1
100	0	0	120	90	50	6	1	1
120	0	0	140	90	50	6	1	1
140	0	0	160	90	50	6	1	1
160	0	0	180	90	50	6	1	1
180	0	0	200	90	50	6	1	1
0	0	50	30	70	100	4	2	2
0	0	100	30	70	150	4	2	2
0	0	150	30	70	200	4	2	2
30	0	50	60	70	100	4	2	2
30	0	100	60	70	150	4	2	2
30	0	150	60	70	200	4	2	2
60	0	50	90	70	100	4	2	2
60	0	100	90	70	150	4	2	2
60	0	150	90	70	200	4	2	2
90	0	50	120	70	100	4	2	2
90	0	100	120	70	150	4	2	2
90	0	150	120	70	200	4	2	2
120	0	50	150	70	100	4	2	2
120	0	100	150	70	150	4	2	2
120	0	150	150	70	200	4	2	2
150	0	50	180	70	100	4	2	2
150	0	100	180	70	150	4	2	2
150	0	150	180	70	200	4	2	2
0	170	0	200	220	40	2	3	3
0	170	40	200	220	80	2	3	3
0	170	80	200	220	120	2	3	3
0	170	120	200	220	160	2	3	3
0	170	160	200	220	200	2	3	3
200	170	0	400	220	40	2	3	3
200	170	40	400	220	80	2	3	3
200	170	80	400	220	120	2	3	3
200	170	120	400	220	160	2	3	3
200	170	160	400	220	200	2	3	3
400	170	0	600	220	40	2	3	3
400	170	40	600	220	80	2	3	3
400	170	80	600	220	120	2	3	3
400	170	120	600	220	160	2	3	3
400	170	160	600	220	200	2	3	3
0	125	0	50	170	100	1	4	4
50	125	0	100	170	100	1	4	4
100	125	0	150	170	100	1	4	4
150	125	0	200	170	100	1	4	4
200	125	0	250	170	100	1	4	4
250	125	0	300	170	100	1	4	4
300	125	0	350	170	100	1	4	4
350	125	0	400	170	100	1	4	4
400	125	0	450	170	100	1	4	4
450	125	0	500	170	100	1	4	4
0	170	200	110	220	210	8	5	5
0	90	0	50	120	50	9	6	6
0	90	50	50	120	100	9	6	6
0	90	100	50	120	150	9	6	6
0	90	150	50	120	200	9	6	6
50	90	0	100	120	50	9	6	6
50	90	50	100	120	100	9	6	6
50	90	100	100	120	150	9	6	6
50	90	150	100	120	200	9	6	6
100	90	0	150	120	50	9	6	6
100	90	50	150	120	100	9	6	6
100	90	100	150	120	150	9	6	6
100	90	150	150	120	200	9	6	6
150	90	0	200	120	50	9	6	6
150	90	50	200	120	100	9	6	6
150	90	100	200	120	150	9	6	6
150	90	150	200	120	200	9	6	6
200	90	0	250	120	50	9	6	6
200	90	50	250	120	100	9	6	6
200	90	100	250	120	150	9	6	6
200	90	150	250	120	200	9	6	6
250	90	0	300	120	50	9	6	6
250	90	50	300	120	100	9	6	6
250	90	100	300	120	150	9	6	6
250	90	150	300	120	200	9	6	6
110	170	200	220	220	210	8	7	7
220	170	200	330	220	210	8	7	7
330	170	200	440	220	210	8	7	7
440	170	200	550	220	210	8	7	7
200	0	0	260	50	35	3	8	8
200	0	35	260	50	70	3	8	8
200	0	70	260	50	105	3	8	8
260	0	0	320	50	35	3	8	8
260	0	35	320	50	70	3	8	8
260	0	70	320	50	105	3	8	8
320	0	0	380	50	35	3	8	8
320	0	35	380	50	70	3	8	8
320	0	70	380	50	105	3	8	8
380	0	0	440	50	35	3	8	8
380	0	35	440	50	70	3	8	8
380	0	70	440	50	105	3	8	8
440	0	0	500	50	35	3	8	8
440	0	35	500	50	70	3	8	8
440	0	70	500	50	105	3	8	8
500	0	0	560	50	35	3	8	8
500	0	35	560	50	70	3	8	8
500	0	70	560	50	105	3	8	8
200	0	105	300	50	120	7	9	9
200	0	120	300	50	135	7	9	9
200	0	135	300	50	150	7	9	9
200	0	150	300	50	165	7	9	9
200	0	165	300	50	180	7	9	9
300	0	105	400	50	120	7	9	9
300	0	120	400	50	135	7	9	9
300	0	135	400	50	150	7	9	9
300	0	150	400	50	165	7	9	9
300	0	165	400	50	180	7	9	9
400	0	105	500	50	120	7	9	9
400	0	120	500	50	135	7	9	9
400	0	135	500	50	150	7	9	9
400	0	150	500	50	165	7	9	9
400	0	165	500	50	180	7	9	9
500	0	105	560	50	140	3	10	10
500	0	140	560	50	175	3	10	10
200	50	0	350	70	150	0	11	11
200	70	0	350	90	150	0	11	11
350	50	0	500	70	150	0	11	11
350	70	0	500	90	150	0	11	11
300	90	0	410	100	50	8	12	12
300	90	50	410	100	100	8	12	12
300	90	100	410	100	150	8	12	12
300	90	150	410	100	200	8	12	12
300	100	0	410	110	50	8	12	12
300	100	50	410	110	100	8	12	12
300	100	100	410	110	150	8	12	12
300	100	150	410	110	200	8	12	12
300	110	0	410	120	50	8	12	12
300	110	50	410	120	100	8	12	12
300	110	100	410	120	150	8	12	12
300	110	150	410	120	200	8	12	12
500	120	0	570	170	30	4	13	13
500	120	30	570	170	60	4	13	13
500	120	60	570	170	90	4	13	13
500	120	90	570	170	120	4	13	13
500	120	120	570	170	150	4	13	13
500	120	150	570	170	180	4	13	13
500	120	180	570	170	210	4	13	13
200	50	150	310	60	200	8	14	14
200	60	150	310	70	200	8	14	14
200	70	150	310	80	200	8	14	14
410	90	0	490	115	50	5	15	15
410	90	50	490	115	100	5	15	15
410	90	100	490	115	150	5	15	15
410	90	150	490	115	200	5	15	15
310	50	150	390	75	200	5	16	16
390	50	150	440	80	200	9	17	17
570	0	0	590	150	150	0	18	18
