5	5	243	220	227
9517796	8644096
0	0	0	110	110	70	4	1	1
0	0	70	110	110	140	4	1	1
110	0	0	220	110	70	4	1	1
110	0	70	220	110	140	4	1	1
0	0	140	82	26	222	1	2	2
0	26	140	82	52	222	1	2	2
0	52	140	82	78	222	1	2	2
0	78	140	82	104	222	1	2	2
0	170	0	89	220	100	0	3	3
0	170	100	89	220	200	0	3	3
89	170	0	178	220	100	0	3	3
89	170	100	178	220	200	0	3	3
0	120	0	89	170	100	2	4	4
0	195	200	89	220	212	3	5	5
0	195	212	89	220	224	3	5	5
89	195	200	178	220	212	3	5	5
89	195	212	178	220	224	3	5	5
0	170	200	89	195	212	3	6	6
0	120	100	89	170	200	2	7	7
82	0	140	192	110	210	4	8	8
89	120	0	178	170	100	2	9	9
89	120	100	178	170	200	2	9	9
178	131	0	228	220	100	2	10	10
178	131	100	228	220	200	0	11	11
