16	1	120	100	160
0	99999
0	0	0	60	50	40	2	1	1	0	0
0	0	40	60	50	80	2	1	1	0	0
0	0	80	60	50	120	2	1	1	0	0
0	0	120	60	50	160	2	1	1	0	0
0	50	0	60	100	40	2	1	1	0	0
0	50	40	60	100	80	2	1	1	0	0
0	50	80	60	100	120	2	1	1	0	0
0	50	120	60	100	160	2	1	1	0	0
60	0	0	120	50	40	2	2	2	0	0
60	0	40	120	50	80	2	2	2	0	0
60	0	80	120	50	120	2	2	2	0	0
60	0	120	120	50	160	2	2	2	0	0
60	50	0	120	100	40	2	2	2	0	0
60	50	40	120	100	80	2	2	2	0	0
60	50	80	120	100	120	2	2	2	0	0
60	50	120	120	100	160	2	2	2	0	0
0	0	0	10	50	120	14	1	1	0	1
0	50	0	10	100	120	14	1	1	0	1
10	0	0	20	50	120	14	1	1	0	1
10	50	0	20	100	120	14	1	1	0	1
20	0	0	30	50	120	14	1	1	0	1
20	50	0	30	100	120	14	1	1	0	1
30	0	0	40	50	120	14	1	1	0	1
30	50	0	40	100	120	14	1	1	0	1
40	0	0	50	50	120	14	1	1	0	1
40	50	0	50	100	120	14	1	1	0	1
50	0	0	60	50	120	14	1	1	0	1
50	50	0	60	100	120	14	1	1	0	1
60	0	0	70	50	120	14	1	1	0	1
60	50	0	70	100	120	14	1	1	0	1
70	0	0	80	50	120	14	1	1	0	1
70	50	0	80	100	120	14	1	1	0	1
80	0	0	90	50	120	14	1	1	0	1
80	50	0	90	100	120	14	1	1	0	1
90	0	0	100	50	120	14	1	1	0	1
90	50	0	100	100	120	14	1	1	0	1
100	0	0	110	50	120	14	1	1	0	1
100	50	0	110	100	120	14	1	1	0	1
110	0	0	120	50	120	14	1	1	0	1
110	50	0	120	100	120	14	1	1	0	1
0	0	120	120	50	130	14	2	2	0	1
0	0	130	120	50	140	14	2	2	0	1
0	0	140	120	50	150	14	2	2	0	1
0	0	150	120	50	160	14	2	2	0	1
0	50	120	120	100	130	14	2	2	0	1
0	50	130	120	100	140	14	2	2	0	1
0	50	140	120	100	150	14	2	2	0	1
0	50	150	120	100	160	14	2	2	0	1
0	0	0	40	20	150	0	1	1	0	2
0	20	0	40	40	150	0	1	1	0	2
0	40	0	40	60	150	0	1	1	0	2
0	60	0	40	80	150	0	1	1	0	2
0	80	0	40	100	150	0	1	1	0	2
40	0	0	80	20	150	0	1	1	0	2
40	20	0	80	40	150	0	1	1	0	2
40	40	0	80	60	150	0	1	1	0	2
40	60	0	80	80	150	0	1	1	0	2
40	80	0	80	100	150	0	1	1	0	2
80	0	0	120	20	150	0	1	1	0	2
80	20	0	120	40	150	0	1	1	0	2
80	40	0	120	60	150	0	1	1	0	2
80	60	0	120	80	150	0	1	1	0	2
80	80	0	120	100	150	0	1	1	0	2
0	0	150	120	50	160	14	2	2	0	2
0	50	150	120	100	160	14	2	2	0	2
0	0	0	40	20	150	0	1	1	0	3
0	20	0	40	40	150	0	1	1	0	3
0	40	0	40	60	150	0	1	1	0	3
0	60	0	40	80	150	0	1	1	0	3
0	80	0	40	100	150	0	1	1	0	3
40	0	0	80	20	150	0	1	1	0	3
40	20	0	80	40	150	0	1	1	0	3
40	40	0	80	60	150	0	1	1	0	3
40	60	0	80	80	150	0	1	1	0	3
40	80	0	80	100	150	0	1	1	0	3
80	0	0	120	20	150	0	1	1	0	3
80	20	0	120	40	150	0	1	1	0	3
80	40	0	120	60	150	0	1	1	0	3
80	60	0	120	80	150	0	1	1	0	3
80	80	0	120	100	150	0	1	1	0	3
0	0	150	120	50	160	14	2	2	0	3
0	50	150	120	100	160	14	2	2	0	3
0	0	0	20	100	50	6	1	1	0	4
0	0	50	20	100	100	6	1	1	0	4
0	0	100	20	100	150	6	1	1	0	4
20	0	0	40	100	50	6	1	1	0	4
20	0	50	40	100	100	6	1	1	0	4
20	0	100	40	100	150	6	1	1	0	4
40	0	0	60	100	50	6	1	1	0	4
40	0	50	60	100	100	6	1	1	0	4
40	0	100	60	100	150	6	1	1	0	4
60	0	0	80	100	50	6	1	1	0	4
60	0	50	80	100	100	6	1	1	0	4
60	0	100	80	100	150	6	1	1	0	4
80	0	0	100	100	50	6	1	1	0	4
80	0	50	100	100	100	6	1	1	0	4
80	0	100	100	100	150	6	1	1	0	4
100	0	0	120	100	50	6	1	1	0	4
100	0	50	120	100	100	6	1	1	0	4
100	0	100	120	100	150	6	1	1	0	4
0	0	150	120	50	160	14	2	2	0	4
0	50	150	120	100	160	14	2	2	0	4
0	0	0	120	50	10	8	1	1	0	5
0	0	10	120	50	20	8	1	1	0	5
0	0	20	120	50	30	8	1	1	0	5
