4	4	220	243	227
4125000	3750000
0	0	0	50	50	50	0	1	1
0	50	0	50	100	50	0	1	1
0	100	0	50	150	50	0	1	1
0	150	0	50	200	50	0	1	1
50	0	0	100	50	50	0	1	1
50	50	0	100	100	50	0	1	1
50	100	0	100	150	50	0	1	1
50	150	0	100	200	50	0	1	1
100	0	0	150	50	50	0	1	1
100	50	0	150	100	50	0	1	1
100	100	0	150	150	50	0	1	1
100	150	0	150	200	50	0	1	1
150	0	0	200	50	50	0	1	1
150	50	0	200	100	50	0	1	1
150	100	0	200	150	50	0	1	1
150	150	0	200	200	50	0	1	1
0	0	50	50	50	100	0	2	2
0	0	100	50	50	150	0	2	2
0	0	150	50	50	200	0	2	2
0	150	50	50	200	100	0	3	3
0	150	100	50	200	150	0	3	3
0	150	150	50	200	200	0	3	3
50	150	50	100	200	100	0	3	3
50	150	100	100	200	150	0	3	3
50	150	150	100	200	200	0	3	3
100	150	50	150	200	100	0	3	3
100	150	100	150	200	150	0	3	3
100	150	150	150	200	200	0	3	3
0	50	50	50	100	100	1	4	4
0	50	100	50	100	150	0	5	5
0	50	150	50	100	200	0	5	5
0	100	50	50	150	100	3	6	6
0	100	100	50	150	150	2	7	7
